"ID da cidade","Nome da cidade",ID,Tipo,Apelido,"Período de atualização","É Básica?","Unidade de medida",Nome,Data,Valor,Observações,"Fonte preenchida","Nome Região","Valor ativo?","Gerado por computador?","ID da Região","Nível da Região"
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2197.40,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Cursino,sim,não,274,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1831.38,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Ermelino Matarazzo",sim,não,309,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2087.33,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Freguesia do Ó",sim,não,311,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1852.28,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Grajaú,sim,não,277,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1502.85,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Guaianases,sim,não,205,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2002.58,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Iguatemi,sim,não,221,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2327.38,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Ipiranga,sim,não,273,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,5795.33,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Itaim Bibi",sim,não,213,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2520.70,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Itaim Paulista",sim,não,243,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2253.90,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Itaquera,sim,não,225,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,3094.49,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Jabaquara,sim,não,255,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2043.27,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Jaçanã,sim,não,315,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,4256.21,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Jaguara,sim,não,269,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,3327.01,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Jaguaré,sim,não,268,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2783.40,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Jaraguá,sim,não,209,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1889.36,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Jardim Ângela",sim,não,352,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1540.72,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Jardim Helena",sim,não,286,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,3777.08,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Jardim Paulista",sim,não,212,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2846.05,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","Jardim São Luís",sim,não,353,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1984.27,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)","José Bonifácio",sim,não,224,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,1470.31,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Lajeado,sim,não,204,3
1,"São Paulo",4050,Valor,rem_med_emp_form_dez,anual,não,,"Remuneração média do emprego formal em dezembro",01/01/2015,2727.10,,"Ministério do Trabalho e Emprego/Rais (Relação Anual de Informações Sociais)/Elaboração: DIEESE (Departamento Intersindical de Estatística e Estudos Socioeconômicos)",Lapa,sim,não,267,3
